,SNR,Probabilidade de Detecção [%]
0,-60,0.0478
1,-58,0.0514
2,-56,0.0492
3,-54,0.0528
4,-52,0.0594
5,-50,0.0614
6,-48,0.0685
7,-46,0.0745
8,-44,0.0847
9,-42,0.1081
10,-40,0.1524
11,-38,0.2141
12,-36,0.3195
13,-34,0.475
14,-32,0.6784
15,-30,0.8756
16,-28,0.9787
17,-26,0.9989
18,-24,1.0
19,-22,1.0
20,-20,1.0
21,-18,1.0
22,-16,1.0
23,-14,1.0
24,-12,1.0
