,vc_pratico,vc_teorico,diff
0,0.5626171926403866,0.5991464547107979,0.036529262070411295
1,0.28530899086965766,0.29957322735539893,0.014264236485741266
2,0.1750368274406504,0.1997154849035993,0.024678657462948894
3,0.15424211437033666,0.14978661367769946,0.004455500692637199
4,0.11328174871170978,0.11982929094215958,0.0065475422304498015
5,0.1018736164350179,0.09985774245179965,0.0020158739832182443
6,0.08639877210283098,0.08559235067297113,0.0008064214298598438
7,0.07160733845789581,0.07489330683884973,0.0032859683809539214
8,0.06340064149669165,0.06657182830119977,0.0031711868045081193
9,0.05711026553086306,0.05991464547107979,0.0028043799402167266
10,0.05413715867343659,0.05446785951916345,0.0003307008457268598
11,0.04570492538194166,0.049928871225899826,0.004223945843958167
