,vc_pratico,vc_teorico,diff
0,7.11361143507017,6.944271909999155,0.16933952507101502
1,4.33204353071706,4.458970107524511,0.12692657680745079
2,4.355055095459833,3.8852938346523933,0.46976126080743974
3,3.7163123397667506,3.63372346759163,0.08258887217512045
4,3.317689840824197,3.492828476735632,0.17513863591143508
5,3.321081179698875,3.4028261053501945,0.08174492565131963
6,3.6308499965061873,3.340385558237759,0.29046443826842827
7,3.2418414263480018,3.294536816491142,0.0526953901431404
8,3.25592833130884,3.2594463061441075,0.003517974835267612
9,3.0887705253045192,3.2317269928308443,0.14295646752632507
10,3.1681651690411528,3.209278020049202,0.0411128510080494
11,3.2784942968664605,3.1907273359284987,0.08776696093796188
12,3.0532809331772377,3.175140971274897,0.1218600380976591
13,3.0313093477120017,3.161861164913022,0.13055181720102027
14,3.237355429979634,3.1504113105827303,0.08694411939690383
15,2.9275105539749093,3.1404376218542978,0.21292706787938842
16,3.4059543505633214,3.1316719710508436,0.2742823795124778
17,3.1136090357176935,3.1239074485457783,0.010298412828084746
18,3.3402153477662986,3.116981837383118,0.22323351038318062
19,3.2725483630650327,3.1107661660804564,0.1617821969845763
20,3.225577917249224,3.1051566079400104,0.12042130930921369
21,2.8713322710118883,3.1000686386371408,0.2287363676252525
22,3.1529864287953266,3.0954327502913768,0.05755367850394988
23,3.167761392009818,3.0911912588572945,0.07657013315252348
24,2.936634103685672,3.0872958927489287,0.1506617890632569
