,SNR,Probabilidade de Detecção [%]
0,-60,0.0506
1,-58,0.0506
2,-56,0.0546
3,-54,0.0515
4,-52,0.0583
5,-50,0.0616
6,-48,0.0665
7,-46,0.0802
8,-44,0.1006
9,-42,0.1301
10,-40,0.1776
11,-38,0.2631
12,-36,0.3889
13,-34,0.5853
14,-32,0.788
15,-30,0.9463
16,-28,0.9939
17,-26,1.0
18,-24,1.0
19,-22,1.0
20,-20,1.0
21,-18,1.0
22,-16,1.0
23,-14,1.0
24,-12,1.0
