,vc_pratico,vc_teorico,diff
0,0.28966580964768657,0.2831288355631135,0.006536974084573044
1,0.1461097867866736,0.14586850331224344,0.00024128347443017062
2,0.10001630483743612,0.0981446276772957,0.001871677160140417
3,0.07539221126288968,0.07393758892668656,0.0014546223362031235
4,0.05968088145314946,0.059306014189697054,0.0003748672634524067
5,0.04993014182267543,0.049507609888227,0.0004225319344484321
6,0.04330375973746853,0.04248741054859373,0.0008163491888747987
7,0.03796907450974575,0.03721067606158024,0.000758398448165512
8,0.033639009553748565,0.03309972123627414,0.0005392883174744276
9,0.0304483476960061,0.02980667377335089,0.0006416739226552115
10,0.0277753711411622,0.027109539554339923,0.0006658315868222769
11,0.025137027383223876,0.02485999243042436,0.0002770349527995153
12,0.02348031161082313,0.022955158445512658,0.0005251531653104706
13,0.022018553151441352,0.021321445229927072,0.0006971079215142804
14,0.020446978807144026,0.019904816220685073,0.0005421625864589531
15,0.019269328275120914,0.018664699758660808,0.0006046285164601067
16,0.017830258472313364,0.01757004113876348,0.00026021733354988225
17,0.017162304431829385,0.01659666674513316,0.000565637686696225
18,0.01582988292776908,0.015725478239168478,0.00010440468860060254
19,0.015417386054648013,0.014941187058895244,0.00047619899575276903
20,0.014380492796925517,0.01423140958268787,0.00014908321423764623
21,0.013849636454656712,0.0135860084772772,0.0002636279773795113
22,0.01333011722572082,0.012996605476660705,0.00033351174906011416
23,0.012630629067615496,0.012456215701070028,0.0001744133665454676
24,0.012019751441438435,0.011958969556349675,6.07818850887603e-05
25,0.011775040146742752,0.011499898681967657,0.0002751414647750947
26,0.011310417279031494,0.011074769374639137,0.00023564790439235643
27,0.010808200898073397,0.010679951640793273,0.0001282492572801247
28,0.010550158291779882,0.010312315293274255,0.0002378429985056274
29,0.010125544103070178,0.009969146792899286,0.00015639731017089153
30,0.009941751372209309,0.009648082158397853,0.00029366921381145626
31,0.00948310589298049,0.009347052435473069,0.0001360534575074214
32,0.0092028508147709,0.009064239065107005,0.0001386117496638955
33,0.00914786017679818,0.008798037116134472,0.00034982306066370754
34,0.008857791466711697,0.008547024811548676,0.00031076665516302157
35,0.008463335978807097,0.008309938126515481,0.00015339785229161532
36,0.008139254104854722,0.008085649499918524,5.3604604936198855e-05
37,0.008011129177375922,0.0078731499027056,0.0001379792746703211
38,0.007871621651814688,0.007671533661331109,0.00020008799048357867
39,0.007617425299459125,0.007479985554768365,0.00013743974469076006
